  Таблица отсортирована по параметру <<Страна>> по Возростанию.

 Страна:	|	Рейсы:		|	Порт:		|	Море:
~~~~~~~~~~~~~~~~|~~~~~~~~~~~~~~~~~~~~~~~|~~~~~~~~~~~~~~~~~~~~~~~|~~~~~~~~~~~~~~~~~~~~~~~
 ----		|	Гренландия	|	Руж		|	----
----------------|-----------------------|-----------------------|-----------------------
 ----		|	Акуна-матата	|	Берген		|	----
 ----		|	Акуна-матата	|	Пумбия		|	----
----------------|-----------------------|-----------------------|-----------------------
 ----		|	Бомба		|	----		|	----
----------------|-----------------------|-----------------------|-----------------------
 ----		|	Тест		|	Ваыва		|	----
----------------|-----------------------|-----------------------|-----------------------
 ----		|	Авыаыва		|	----		|	----
 ----		|	Авыаыва		|	----		|	----
----------------|-----------------------|-----------------------|-----------------------
 ----		|	----		|	Тест		|	Ппппп
----------------|-----------------------|-----------------------|-----------------------
 Вьетнамм	|	----		|	Лонг-Бич	|	Рррррррр
----------------|-----------------------|-----------------------|-----------------------
 Германия	|	----		|	Бремен		|	Еееееее
----------------|-----------------------|-----------------------|-----------------------
 Даге-Стан	|	Бомба		|	Тагил		|	----
----------------|-----------------------|-----------------------|-----------------------
 Италия		|	Акула		|	Джоя-Тауро	|	Еееее
----------------|-----------------------|-----------------------|-----------------------
 Китай		|	Гренландия	|	Шанхай		|	Ааааа
----------------|-----------------------|-----------------------|-----------------------
 Китай		|	Акула		|	Гонконг		|	Ааааа
----------------|-----------------------|-----------------------|-----------------------
 ОАЭ		|	Святая-Мария	|	Дубай		|	Ооооо
----------------|-----------------------|-----------------------|-----------------------
 США		|	Лодочка		|	Лос-Анжелес	|	Ддддд
----------------|-----------------------|-----------------------|-----------------------
 Сингапур	|	Лодочка		|	Сингапур	|	Ббббб
----------------|-----------------------|-----------------------|-----------------------
 Ыыы		|	----		|	Ааааа		|	Ппппппп
----------------|-----------------------|-----------------------|-----------------------
 Южная-Корея	|	Тест		|	Пусан		|	Ввввв
----------------|-----------------------|-----------------------|-----------------------
 Южная-Корея	|	Святая-Мария	|	Пусан		|	Ввввв
----------------|-----------------------|-----------------------|-----------------------
