 Таблица отсортирована по параметру <<Порт Прибытия>> по Возростанию.

 Порт Прибытия:	|	Рейсы:		|    Порт Отправления:	|	Страна:		|	Море:
~~~~~~~~~~~~~~~~|~~~~~~~~~~~~~~~~~~~~~~~|~~~~~~~~~~~~~~~~~~~~~~~|~~~~~~~~~~~~~~~~~~~~~~~|~~~~~~~~~~~~~~~~~~~~~~~
 Ваыва		|	Тест		|	<---		|	----		|	----
		|			|	Пусан		|	Южная-Корея	|	Ввввв
----------------|-----------------------|-----------------------|-----------------------|-----------------------
 Джоя-Тауро	|	Акула		|	<---		|	Италия		|	Еееее
		|			|	Гонконг		|	Китай		|	Ааааа
----------------|-----------------------|-----------------------|-----------------------|-----------------------
 Пумбия		|	Акуна-матата	|	<---		|	----		|	----
		|			|	Берген		|	----		|	----
----------------|-----------------------|-----------------------|-----------------------|-----------------------
 Пусан		|	Святая-Мария	|	<---		|	Южная-Корея	|	Ввввв
		|			|	Дубай		|	ОАЭ		|	Ооооо
----------------|-----------------------|-----------------------|-----------------------|-----------------------
 Сингапур	|	Лодочка		|	<---		|	Сингапур	|	Ббббб
		|			|	Лос-Анжелес	|	США		|	Ддддд
----------------|-----------------------|-----------------------|-----------------------|-----------------------
 Шанхай		|	Гренландия	|	<---		|	Китай		|	Ааааа
		|			|	Руж		|	----		|	----
----------------|-----------------------|-----------------------|-----------------------|-----------------------
