 Таблица отсортирована по параметру Портов Отправления по Убыванию.

 Порт Отправления:	|	Рейсы:		|    Порт Прибытия:	|	Страна:		|	Море:
~~~~~~~~~~~~~~~~~~~~~~~~|~~~~~~~~~~~~~~~~~~~~~~~|~~~~~~~~~~~~~~~~~~~~~~~|~~~~~~~~~~~~~~~~~~~~~~~|~~~~~~~~~~~~~~~~~~~~~~~
	Тест		|	----		|	<---		|	----		|	Ппппп
			|			|			|			|	
------------------------|-----------------------|-----------------------|-----------------------|-----------------------
	Дубай		|	Святая-Мария	|	<---		|	ОАЭ		|	Ооооо
			|			|	Пусан		|	Южная-Корея	|	Ввввв
------------------------|-----------------------|-----------------------|-----------------------|-----------------------
	Гонконг		|	Акула		|	<---		|	Китай		|	Ааааа
			|			|	Джоя-Тауро	|	Италия		|	Еееее
------------------------|-----------------------|-----------------------|-----------------------|-----------------------
	Лос-Анжелес	|	Лодочка		|	<---		|	США		|	Ддддд
			|			|	Сингапур	|	Сингапур	|	Ббббб
------------------------|-----------------------|-----------------------|-----------------------|-----------------------
	Руж		|	Гренландия	|	<---		|	----		|	----
			|			|	Шанхай		|	Китай		|	Ааааа
------------------------|-----------------------|-----------------------|-----------------------|-----------------------
	Берген		|	Акуна-матата	|	<---		|	----		|	----
			|			|	Пумбия		|	----		|	----
------------------------|-----------------------|-----------------------|-----------------------|-----------------------
	Тагил		|	Бомба		|	<---		|	Даге-Стан	|	----
			|			|	----		|	----		|	----
------------------------|-----------------------|-----------------------|-----------------------|-----------------------
	Пусан		|	Тест		|	<---		|	Южная-Корея	|	Ввввв
			|			|	Ваыва		|	----		|	----
------------------------|-----------------------|-----------------------|-----------------------|-----------------------
	----		|	Авыаыва		|	<---		|	----		|	----
			|			|	----		|	----		|	----
------------------------|-----------------------|-----------------------|-----------------------|-----------------------
	Ааааа		|	----		|	<---		|	Ыыы		|	Ппппппп
			|			|			|			|	
------------------------|-----------------------|-----------------------|-----------------------|-----------------------
	Лонг-Бич	|	----		|	<---		|	Вьетнамм	|	Рррррррр
			|			|			|			|	
------------------------|-----------------------|-----------------------|-----------------------|-----------------------
	Бремен		|	----		|	<---		|	Германия	|	Еееееее
			|			|			|			|	
------------------------|-----------------------|-----------------------|-----------------------|-----------------------
