 Таблица отсортирована по параметру <<Рейсы>> по Возростанию.

 Рейсы:		|  Порт Отправления / Прибытия: |	Страна:		|	Море:
~~~~~~~~~~~~~~~~|~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~|~~~~~~~~~~~~~~~~~~~~~~~|~~~~~~~~~~~~~~~~~~~~~~~
 Авыаыва	|	     ----		|	----		|	----
		|	     ----		|	----		|	----
----------------|-------------------------------|-----------------------|-----------------------
 Акула		|	     Гонконг		|	Китай		|	Ааааа
		|	     Джоя-Тауро		|	Италия		|	Еееее
----------------|-------------------------------|-----------------------|-----------------------
 Акуна-матата	|	     Берген		|	----		|	----
		|	     Пумбия		|	----		|	----
----------------|-------------------------------|-----------------------|-----------------------
 Бомба		|	     Тагил		|	Даге-Стан	|	----
		|	     ----		|	----		|	----
----------------|-------------------------------|-----------------------|-----------------------
 Гренландия	|	     Руж		|	----		|	----
		|	     Шанхай		|	Китай		|	Ааааа
----------------|-------------------------------|-----------------------|-----------------------
 Лодочка	|	     Лос-Анжелес	|	США		|	Ддддд
		|	     Сингапур		|	Сингапур	|	Ббббб
----------------|-------------------------------|-----------------------|-----------------------
 Святая-Мария	|	     Дубай		|	ОАЭ		|	Ооооо
		|	     Пусан		|	Южная-Корея	|	Ввввв
----------------|-------------------------------|-----------------------|-----------------------
 Тест		|	     Пусан		|	Южная-Корея	|	Ввввв
		|	     Ваыва		|	----		|	----
----------------|-------------------------------|-----------------------|-----------------------
