  Таблица отсортирована по параметру <<Море>> по Убыванию.

 Море:		|	Рейс:		|	Порт:		|	Страна:
~~~~~~~~~~~~~~~~|~~~~~~~~~~~~~~~~~~~~~~~|~~~~~~~~~~~~~~~~~~~~~~~|~~~~~~~~~~~~~~~~~~~~~~~
 Рррррррр	|	----		|	Лонг-Бич	|	Вьетнамм
----------------|-----------------------|-----------------------|-----------------------
 Ппппппп	|	----		|	Ааааа		|	Ыыы
----------------|-----------------------|-----------------------|-----------------------
 Ппппп		|	----		|	Тест		|	----
----------------|-----------------------|-----------------------|-----------------------
 Ооооо		|	Святая-Мария	|	Дубай		|	ОАЭ
----------------|-----------------------|-----------------------|-----------------------
 Еееееее	|	----		|	Бремен		|	Германия
----------------|-----------------------|-----------------------|-----------------------
 Еееее		|	Акула		|	Джоя-Тауро	|	Италия
----------------|-----------------------|-----------------------|-----------------------
 Ддддд		|	Лодочка		|	Лос-Анжелес	|	США
----------------|-----------------------|-----------------------|-----------------------
 Ввввв		|	Тест		|	Пусан		|	Южная-Корея
----------------|-----------------------|-----------------------|-----------------------
 Ввввв		|	Святая-Мария	|	Пусан		|	Южная-Корея
----------------|-----------------------|-----------------------|-----------------------
 Ббббб		|	Лодочка		|	Сингапур	|	Сингапур
----------------|-----------------------|-----------------------|-----------------------
 Ааааа		|	Гренландия	|	Шанхай		|	Китай
----------------|-----------------------|-----------------------|-----------------------
 Ааааа		|	Акула		|	Гонконг		|	Китай
----------------|-----------------------|-----------------------|-----------------------
 ----		|	Бомба		|	Тагил		|	Даге-Стан
 ----		|	Бомба		|	----		|	----
----------------|-----------------------|-----------------------|-----------------------
 ----		|	Тест		|	Ваыва		|	----
----------------|-----------------------|-----------------------|-----------------------
 ----		|	Авыаыва		|	----		|	----
 ----		|	Авыаыва		|	----		|	----
----------------|-----------------------|-----------------------|-----------------------
----------------|-----------------------|-----------------------|-----------------------
 ----		|	Акуна-матата	|	Берген		|	----
 ----		|	Акуна-матата	|	Пумбия		|	----
----------------|-----------------------|-----------------------|-----------------------
----------------|-----------------------|-----------------------|-----------------------
----------------|-----------------------|-----------------------|-----------------------
 ----		|	Гренландия	|	Руж		|	----
----------------|-----------------------|-----------------------|-----------------------
